year,bea_code,sector_name,target,net_social_output,fulfillment,harmony
2021,GFGD,Federal general government (defense),693482.3267776003,548220.9331290659,0.79053338774541,0.41815362419395036
2021,GFGN,Federal general government (nondefense),375255.92658540845,296652.3389151058,0.7905333877454099,0.4181536241939503
2021,GFE,Federal government enterprises,19038.127688305456,15050.275577765802,0.7905333877454099,0.4181536241939503
2021,GSLG,State and local general government,2412603.783882735,1907243.8425602135,0.79053338774541,0.41815362419395036
2021,GSLE,State and local government enterprises,181242.6074774015,143278.33249292185,0.7905333877454104,0.41815362419395047
2022,111CA,Farms,70473.0129604552,54407.629018307314,0.7720349497308605,0.4124041326481937
2022,113FF,"Forestry, fishing, and related activities",0.0,-1.0459189070388675e-11,nan,nan
2022,211,Oil and gas extraction,0.0,-5.093170329928398e-11,nan,nan
2022,212,"Mining, except oil and gas",24895.015946306125,19219.822384655417,0.7720349497308604,0.4124041326481937
2022,213,Support activities for mining,1828.7029206899283,1411.8225674475398,0.7720349497308677,0.412404132648196
2022,22,Utilities,216127.9019502098,166858.29391756636,0.7720349497308595,0.4124041326481934
2022,23,Construction,116.57518830998187,90.00011964674923,0.772034949730747,0.4124041326481581
2022,321,Wood products,0.0,3.183231456205249e-12,nan,nan
2022,327,Nonmetallic mineral products,0.0,4.547473508864641e-13,nan,nan
2022,331,Primary metals,0.0,-2.2396307031158358e-11,nan,nan
2022,332,Fabricated metal products,0.0,-5.002220859751105e-11,nan,nan
2022,333,Machinery,68080.59836339988,52560.601335134445,0.7720349497308622,0.41240413264819425
2022,334,Computer and electronic products,43393.0928064739,33500.98422351244,0.7720349497308558,0.41240413264819226
2022,335,"Electrical equipment, appliances, and components",4201.242041402453,3243.505688241332,0.7720349497308633,0.4124041326481946
2022,3361MV,"Motor vehicles, bodies and trailers, and parts",210444.94449214687,162470.85214210826,0.7720349497308601,0.4124041326481936
2022,3364OT,Other transportation equipment,102175.0808718985,78882.7334246827,0.7720349497308597,0.4124041326481935
2022,337,Furniture and related products,29595.120614176005,22848.467455644113,0.7720349497308601,0.4124041326481936
2022,339,Miscellaneous manufacturing,65013.79539585605,50192.922260252155,0.7720349497308602,0.4124041326481936
2022,311FT,Food and beverage and tobacco products,560740.1675525982,432911.00706854404,0.7720349497308598,0.41240413264819353
2022,313TT,Textile mills and textile product mills,0.0,-1.8189894035458565e-12,nan,nan
2022,315AL,Apparel and leather and allied products,3468.396913066344,2677.7236364258415,0.7720349497308591,0.4124041326481933
2022,322,Paper products,9051.690484653396,6988.2214082986975,0.772034949730861,0.41240413264819387
2022,323,Printing and related support activities,2770.0344761536794,2138.5634275500724,0.7720349497308663,0.41240413264819553
2022,324,Petroleum and coal products,210058.8618385482,162172.7828400453,0.7720349497308604,0.4124041326481937
2022,325,Chemical products,165230.95898258407,127564.07511210088,0.7720349497308587,0.41240413264819314
2022,326,Plastics and rubber products,1119.4581854506416,864.2608439302008,0.7720349497308734,0.41240413264819775
2022,42,Wholesale trade,1290249.1280766625,996117.420734953,0.7720349497308607,0.4124041326481938
2022,441,Motor vehicle and parts dealers,50543.183582811806,39021.10419659373,0.7720349497308598,0.41240413264819353
2022,445,Food and beverage stores,22810.888372963986,17610.803058337508,0.77203494973086,0.4124041326481936
2022,452,General merchandise stores,13982.099446886592,10794.669443608973,0.7720349497308598,0.41240413264819353
2022,4A0,Other retail,1162988.2970704713,897867.6114663798,0.7720349497308601,0.4124041326481936
2022,481,Air transportation,180287.24709790136,139188.05575034342,0.7720349497308601,0.4124041326481936
2022,482,Rail transportation,27813.65739548019,21473.115589150908,0.7720349497308598,0.41240413264819353
2022,483,Water transportation,42694.5531017023,32961.68715765427,0.77203494973086,0.4124041326481936
2022,484,Truck transportation,183864.70264838432,141949.97646642488,0.7720349497308598,0.41240413264819353
2022,485,Transit and ground passenger transportation,50552.101682671884,39027.98928137091,0.77203494973086,0.4124041326481936
2022,486,Pipeline transportation,13369.191066642454,10321.482753077567,0.7720349497308598,0.41240413264819353
2022,487OS,Other transportation and support activities,33813.1290558483,26104.917390874893,0.7720349497308591,0.4124041326481933
2022,493,Warehousing and storage,0.0,2.3646862246096134e-11,nan,nan
2022,511,"Publishing industries, except internet (includes software)",203127.3873403605,156821.44227427617,0.7720349497308601,0.4124041326481936
2022,512,Motion picture and sound recording industries,35964.86886535803,27766.135726543678,0.7720349497308605,0.4124041326481937
2022,513,Broadcasting and telecommunications,409146.48648755054,315875.38712797407,0.77203494973086,0.4124041326481936
2022,514,"Data processing, internet publishing, and other information services",134273.19656712117,103663.60056189937,0.7720349497308607,0.4124041326481938
2022,521CI,"Federal Reserve banks, credit intermediation, and related activities",393613.19514937996,303883.1433305549,0.7720349497308604,0.4124041326481937
2022,523,"Securities, commodity contracts, and investments",360433.74898830435,278267.45128149085,0.7720349497308597,0.4124041326481935
2022,524,Insurance carriers and related activities,423245.53614402347,326760.3462207618,0.7720349497308595,0.4124041326481934
2022,525,"Funds, trusts, and other financial vehicles",138810.62412212105,107166.65321623102,0.77203494973086,0.4124041326481936
2022,HS,Housing,2389778.790243137,1844992.7481932356,0.77203494973086,0.4124041326481936
2022,ORE,Other real estate,11515.679590297743,8890.507113612057,0.7720349497308469,0.4124041326481894
2022,532RL,Rental and leasing services and lessors of intangible assets,151167.03671949505,116706.23559469837,0.7720349497308596,0.4124041326481934
2022,5411,Legal services,127115.01631872822,98137.23523366677,0.7720349497308598,0.41240413264819353
2022,5415,Computer systems design and related services,69115.11217001802,53359.282149822626,0.7720349497308602,0.4124041326481936
2022,5412OP,"Miscellaneous professional, scientific, and technical services",134261.30994352893,103654.42367305189,0.7720349497308608,0.41240413264819387
2022,55,Management of companies and enterprises,33044.78071179692,25511.725615699324,0.7720349497308568,0.4124041326481926
2022,561,Administrative and support services,108150.28631705894,83495.80086016867,0.7720349497308596,0.4124041326481934
2022,562,Waste management and remediation services,20636.81395579484,15932.341624967186,0.7720349497308603,0.41240413264819364
2022,61,Educational services,329232.3404474253,254178.87340710143,0.7720349497308602,0.4124041326481936
2022,621,Ambulatory health care services,1215741.4869496394,938594.9177628857,0.7720349497308598,0.41240413264819353
2022,622,Hospitals,971200.9942462352,749801.1107714535,0.77203494973086,0.4124041326481936
2022,623,Nursing and residential care facilities,252589.56176450255,195007.96961939769,0.7720349497308601,0.4124041326481936
2022,624,Social assistance,265159.6346998983,204712.50524618922,0.7720349497308601,0.4124041326481936
2022,711AS,"Performing arts, spectator sports, museums, and related activities",104501.864248859,80679.09151214903,0.7720349497308602,0.4124041326481936
2022,713,"Amusements, gambling, and recreation industries",167978.3803210247,129685.18040701358,0.77203494973086,0.4124041326481936
2022,721,Accommodation,211533.02390130018,163310.88747405715,0.7720349497308603,0.41240413264819364
2022,722,Food services and drinking places,741545.6673196037,572499.1719922274,0.7720349497308602,0.4124041326481936
2022,81,"Other services, except government",526318.3724587685,406336.17822363344,0.7720349497308601,0.4124041326481936
2022,GFGD,Federal general government (defense),664613.1316656489,513104.5656959587,0.77203494973086,0.4124041326481936
2022,GFGN,Federal general government (nondefense),360638.2279623856,278425.31619596673,0.7720349497308598,0.41240413264819353
2022,GFE,Federal government enterprises,15381.248196490134,11874.861178175146,0.7720349497308603,0.41240413264819364
2022,GSLG,State and local general government,2450126.1686692457,1891583.0334628255,0.77203494973086,0.4124041326481936
2022,GSLE,State and local government enterprises,181829.72208691956,140378.90035095115,0.7720349497308598,0.41240413264819353
2023,111CA,Farms,82182.7637518051,51812.33291480494,0.6304525492873425,0.3643281345951865
