iteration,technology_mode,source_year,destination_year,mean_harmony_before,mean_harmony_after,gain,cv_before,cv_after,destination_harmony_before,destination_harmony_after,current_worst_fulfillment,desired_worst_fulfillment,step,capital_at_destination_gap_real_musd,investment_at_source_real_musd,top_capital_sources,top_capacity_destinations
43,frozen,2019,2023,0.3921137645868318,0.3927345294577328,0.0006207648709010138,0.15820912546114052,0.1566010216040155,0.3176666253112378,0.3191555939516457,0.5121151929608473,0.51564079873174,0.003525605770892662,3965.6432666493183,8177.998525624843,334:1966.663; 5415:1897.948; 23:1082.909; 3361MV:702.939; 42:567.576,514:2700.571; 524:1877.829; 561:1407.386; 523:1325.607; 5415:729.415
44,frozen,2019,2023,0.3927345294577328,0.3933470926797929,0.0006125632220601029,0.1566010216040155,0.1550367231227743,0.3191555939516457,0.3206255221237132,0.5156407987317397,0.5191364789542605,0.0034956802225207945,3931.9826542289993,8108.583194936845,334:1949.970; 5415:1881.838; 23:1073.717; 3361MV:696.972; 42:562.759,514:2677.648; 524:1861.890; 561:1395.440; 523:1314.355; 5415:723.224
45,frozen,2019,2023,0.3933470926797929,0.3939515784402075,0.0006044857604146081,0.1550367231227743,0.15351535519016735,0.3206255221237132,0.3220766828329241,0.5191364789542603,0.5226023978592589,0.0034659189049986118,3898.5067706196132,8039.548814284452,334:1933.368; 5415:1865.816; 23:1064.576; 3361MV:691.038; 42:557.967,514:2654.852; 524:1846.038; 561:1383.560; 523:1303.165; 5415:717.067
46,frozen,2019,2023,0.3939515784402075,0.3943618795863889,0.0004103011461814021,0.15351535519016735,0.1522095209889726,0.3220766828329241,0.3235093446203617,0.5226023978592587,0.526038720937976,0.0034363230787172972,3865.217033524852,7970.898307273666,334:1916.859; 5415:1849.884; 23:1055.486; 3361MV:685.137; 42:553.203,514:2632.182; 524:1830.275; 561:1371.746; 523:1292.037; 5415:710.944
47,frozen,2019,2023,0.3943618795863889,0.3946439379387333,0.00028205835234440535,0.1522095209889726,0.15105096646739866,0.3235093446203617,0.3249196385525599,0.5260387209379757,0.5294356388052673,0.003396917867291656,3820.8935834522626,7879.493941078479,334:1894.878; 5415:1828.671; 23:1043.382; 3361MV:677.281; 42:546.859,514:2601.998; 524:1809.287; 561:1356.015; 523:1277.221; 5415:702.791
48,frozen,2019,2023,0.3946439379387333,0.39492106421705964,0.00027712627832632286,0.15105096646739866,0.14992370222363482,0.3249196385525599,0.3263052720855647,0.5294356388052669,0.5327870093406892,0.003351370535422318,3769.6614033166793,7773.842306415081,334:1869.470; 5415:1804.151; 23:1029.392; 3361MV:668.199; 42:539.527,514:2567.109; 524:1785.027; 561:1337.833; 523:1260.095; 5415:693.368
49,frozen,2019,2023,0.39492106421705964,0.3951933581315928,0.00027229391453315044,0.14992370222363482,0.14882690927694767,0.3263052720855647,0.3276667437708609,0.5327870093406891,0.5360933953639015,0.0033063860232124265,3719.0622894224107,7669.496188773786,334:1844.377; 5415:1779.935; 23:1015.575; 3361MV:659.230; 42:532.285,514:2532.651; 524:1761.067; 561:1319.876; 523:1243.181; 5415:684.061
50,frozen,2019,2023,0.3951933581315928,0.39621309284377937,0.0010197347121865818,0.14882690927694767,0.1473231436119123,0.3276667437708609,0.32900454003399354,0.5360933953639013,0.539355354290665,0.0032619589267635658,6906.644917656744,12334.080638471518,23:3264.458; 5412OP:2055.223; 334:1915.893; 5415:1756.018; 3361MV:746.774,GFGN:4767.638; 514:2498.621; 524:1737.404; 561:1302.141; 523:1226.477
51,frozen,2019,2023,0.39621309284377937,0.3973379656786147,0.001124872834835311,0.1473231436119123,0.14577936124138371,0.32900454003399354,0.3303356379791423,0.5393553542906647,0.5426139158436193,0.003258561552954542,7505.67236924943,13278.32733328034,23:3630.886; 5412OP:2346.455; 334:1977.417; 5415:1813.204; 3361MV:780.859,GFGN:5466.762; 514:2496.018; 524:1735.594; 561:1300.785; 523:1225.199
52,frozen,2019,2023,0.3973379656786147,0.3984585989620642,0.0011206332834495236,0.14577936124138371,0.14425762168693662,0.3303356379791423,0.3316624941969206,0.5426139158436191,0.5458750114258991,0.0032610955822800092,8516.96994545266,15202.311366445216,23:3884.546; 5412OP:2374.313; 334:2298.364; 5415:2159.915; 3361MV:1152.723,GFGN:5471.013; 514:2497.959; 524:1736.944; 511:1704.820; 561:1301.796
53,frozen,2019,2023,0.3984585989620642,0.3995749995469039,0.001116400584839694,0.14425762168693662,0.14275776708808766,0.3316624941969206,0.3329851082025975,0.5458750114258989,0.5491385927469091,0.0032635813210102078,8737.380796133715,15579.28303640752,23:3923.909; 5412OP:2380.312; 334:2329.026; 5415:2166.861; 3361MV:1353.608,GFGN:5475.183; 514:2499.863; 524:1738.268; 511:1706.120; 561:1302.789
54,frozen,2019,2023,0.3995749995469039,0.40068717433105555,0.0011121747841516538,0.14275776708808766,0.1412796431706614,0.3329851082025975,0.3343034796812185,0.5491385927469089,0.5524046114485384,0.0032660187016294723,8743.90624180877,15590.91830417052,23:3926.840; 5412OP:2382.090; 334:2330.766; 5415:2168.479; 3361MV:1354.619,GFGN:5479.272; 514:2501.730; 524:1739.566; 511:1707.394; 561:1303.762
55,frozen,2019,2023,0.40068717433105555,0.40179513028954233,0.0011079559584867837,0.1412796431706614,0.13982309927840833,0.3343034796812185,0.33561760848483846,0.5524046114485381,0.5556730191048386,0.003268407656300394,8750.302039740754,15602.322402097718,23:3929.712; 5412OP:2383.833; 334:2332.471; 5415:2170.065; 3361MV:1355.610,GFGN:5483.280; 514:2503.560; 524:1740.839; 511:1708.643; 561:1304.715
